frame_index,track_id,class_name,bbox0,bbox1,bbox2,bbox3
2,1,car,169,175,203,203
2,3,car,638,179,707,211
2,4,car,242,173,261,189
2,5,car,694,178,838,219
2,6,car,225,175,236,184
2,7,car,265,174,301,200
2,8,car,314,167,384,220
3,1,car,169,175,203,203
3,3,car,638,179,706,211
3,4,car,242,174,260,188
3,5,car,694,177,838,219
3,6,car,225,176,235,184
3,7,car,272,176,309,202
3,8,car,337,164,419,226
4,1,car,169,175,202,202
4,3,car,637,179,707,211
4,5,car,694,177,838,219
4,7,car,276,175,315,203
4,8,car,362,162,459,235
4,11,car,253,173,276,192
5,1,car,170,176,202,202
5,3,car,636,179,708,211
5,4,car,238,174,253,187
5,5,car,689,177,840,221
5,7,car,281,174,326,206
5,8,car,396,159,521,251
5,11,car,256,173,278,193
6,1,car,170,175,202,202
6,3,car,636,178,708,211
6,4,car,240,174,256,187
6,5,car,655,173,850,231
6,7,car,288,172,339,208
6,8,car,412,156,548,257
6,11,car,260,169,291,196
7,1,car,169,175,203,202
7,4,car,241,174,259,188
7,5,car,647,172,853,233
7,7,car,297,171,353,211
7,11,car,263,168,299,199
7,16,car,362,176,386,192
7,17,truck,263,171,299,201
8,1,car,169,175,203,201
8,3,car,636,178,708,212
8,4,car,243,174,261,188
8,7,car,312,177,365,214
8,11,car,268,167,307,200
8,16,car,363,177,386,192
8,17,truck,266,173,302,202
9,1,car,169,175,203,201
9,3,car,638,179,707,211
9,4,car,244,174,262,188
9,7,car,327,171,399,221
9,11,car,275,166,317,202
9,22,car,410,178,454,202
10,1,car,169,174,202,201
10,3,car,639,179,707,211
10,4,car,244,174,264,189
10,7,car,344,167,430,227
10,11,car,283,165,326,202
10,22,car,412,177,456,202
10,25,car,698,178,834,218
11,1,car,169,174,202,201
11,3,car,639,179,706,211
11,4,car,245,174,265,189
11,7,car,372,166,470,234
11,11,car,291,164,339,205
11,16,car,357,176,385,193
11,25,car,698,178,834,219
11,28,car,289,167,344,208
12,1,car,169,174,202,201
12,3,car,638,179,708,211
12,4,car,246,174,264,188
12,7,car,380,165,484,236
12,11,car,295,163,346,206
12,16,car,360,176,386,192
12,25,car,698,179,834,219
12,28,car,300,164,362,211
13,1,car,169,174,202,201
13,3,car,638,179,708,211
13,4,car,246,174,265,188
13,16,car,360,175,386,192
13,17,truck,282,174,320,205
13,25,car,698,179,835,222
13,28,car,310,161,382,215
14,1,car,169,174,203,201
14,17,truck,289,173,329,206
14,25,car,698,180,836,222
14,28,car,325,158,407,220
14,34,car,251,172,276,191
15,1,car,170,175,202,201
15,3,car,638,179,707,211
15,17,truck,298,173,341,209
15,25,car,699,179,833,220
15,28,car,349,153,447,226
15,34,car,253,172,280,192
16,1,car,170,175,202,201
16,3,car,637,178,708,211
16,16,car,361,175,385,192
16,17,truck,309,175,354,211
16,25,car,701,179,832,220
16,28,car,374,147,491,235
16,34,car,255,172,283,193
17,1,car,170,175,203,200
17,3,car,637,178,708,211
17,7,car,423,140,584,250
17,16,car,364,175,387,191
17,17,truck,319,174,370,214
17,25,car,691,179,817,218
17,28,car,385,144,511,239
17,34,car,255,170,291,196
18,1,car,170,175,203,200
18,3,car,637,178,708,211
18,7,car,432,138,599,253
18,8,car,531,106,798,300
18,16,car,365,175,388,191
18,17,truck,334,173,395,220
18,22,car,409,180,446,201
18,25,car,690,179,815,218
18,34,car,259,169,298,198
19,1,car,172,175,204,201
19,8,car,602,81,926,320
19,17,truck,350,171,420,225
19,22,car,409,181,446,201
19,34,car,263,168,306,200
19,42,car,309,174,332,191
20,1,car,175,177,205,201
20,3,car,639,179,707,211
20,4,car,257,175,270,186
20,8,car,618,76,956,326
20,16,car,361,175,386,192
20,17,truck,375,171,453,230
20,34,car,267,167,314,201
20,42,car,310,174,331,190
21,1,car,165,171,212,211
21,3,car,639,179,707,211
21,4,car,257,176,269,185
21,16,car,360,175,387,193
21,17,truck,384,171,465,233
21,34,car,276,167,324,203
21,42,car,310,174,331,190
21,44,car,279,171,326,205
22,1,car,164,167,218,216
22,3,car,639,180,705,210
22,4,car,256,174,269,184
22,7,car,483,153,652,268
22,16,car,360,175,387,193
22,22,car,407,180,447,202
22,34,car,279,166,329,204
22,44,car,284,169,337,206
22,47,car,693,183,779,219
23,1,car,164,167,219,217
23,3,car,640,180,705,210
23,4,car,256,174,268,183
23,7,car,493,152,667,271
23,16,car,360,176,386,193
23,22,car,406,180,447,203
23,44,car,292,168,349,208
23,47,car,683,185,766,219
24,4,car,256,174,268,183
24,16,car,360,176,386,193
24,22,car,406,180,447,203
24,44,car,300,165,370,214
24,51,car,247,175,259,181
25,5,car,616,184,732,218
25,11,car,323,163,388,217
25,22,car,406,180,447,203
25,44,car,312,163,387,217
25,51,car,247,175,259,182
26,5,car,605,184,711,216
26,11,car,335,159,410,222
26,42,car,312,175,330,189
26,44,car,326,160,412,222
26,51,car,246,174,260,182
26,55,person,220,164,242,218
26,56,car,743,180,817,221
26,57,car,171,174,202,201
26,58,car,277,175,292,187
27,5,car,591,185,694,215
27,11,car,338,159,416,224
27,42,car,312,176,331,191
27,44,car,350,158,448,229
27,51,car,246,174,260,182
27,55,person,226,164,248,218
27,56,car,733,179,808,219
27,57,car,171,174,202,201
27,58,car,276,175,290,186
28,5,car,579,186,683,215
28,16,car,360,176,388,194
28,42,car,312,176,332,191
28,44,car,376,154,492,237
28,51,car,244,174,260,183
28,56,car,728,178,806,219
28,57,car,171,174,202,202
28,58,car,275,176,288,185
29,3,car,639,180,711,214
29,5,car,574,186,672,215
29,16,car,360,176,388,195
29,25,car,699,179,831,219
29,42,car,312,176,332,191
29,44,car,423,152,559,246
29,51,car,244,174,258,182
29,56,car,726,178,803,218
29,57,car,171,174,202,202
29,62,car,331,177,353,191
30,3,car,639,181,711,215
30,4,car,255,174,268,184
30,5,car,566,186,661,215
30,16,car,360,175,387,194
30,22,car,406,180,447,203
30,25,car,700,179,832,220
30,42,car,312,176,332,191
30,44,car,435,150,579,250
30,51,car,245,174,258,182
30,57,car,170,174,202,202
30,62,car,332,177,353,191
30,68,car,204,173,218,190
31,4,car,255,174,268,184
31,16,car,360,175,387,194
31,22,car,407,181,447,203
31,51,car,245,174,261,182
31,57,car,170,174,203,202
31,68,car,203,173,218,190
32,3,car,640,180,706,210
32,16,car,360,175,387,194
32,22,car,407,181,448,203
32,25,car,699,179,832,220
32,42,car,312,175,331,189
32,51,car,245,174,261,182
32,57,car,170,173,203,203
32,68,car,203,173,217,190
32,73,person,220,172,231,191
33,3,car,640,180,705,210
33,16,car,360,175,387,194
33,22,car,408,181,448,203
33,25,car,699,178,833,219
33,42,car,312,175,331,189
33,51,car,244,173,261,183
33,57,car,170,173,203,203
33,68,car,203,173,217,190
33,73,person,220,171,232,192
33,75,car,467,185,567,213
34,3,car,640,180,705,210
34,22,car,409,180,450,202
34,25,car,699,178,834,219
34,42,car,312,175,332,190
34,51,car,244,173,261,183
34,57,car,170,172,203,203
34,68,car,203,173,216,190
34,73,person,220,171,232,192
34,75,car,446,184,542,212
35,3,car,640,180,705,209
35,22,car,409,180,450,202
35,25,car,699,177,834,219
35,42,car,311,175,333,190
35,51,car,244,173,259,182
35,57,car,170,172,203,203
35,68,car,203,173,216,189
35,73,person,220,171,232,192
35,75,car,423,181,523,210
36,3,car,639,179,705,210
36,16,car,359,175,388,194
36,25,car,699,178,834,218
36,42,car,311,175,332,190
36,51,car,243,173,258,182
36,57,car,169,173,203,203
36,62,car,330,175,355,191
36,68,car,203,173,216,189
36,73,person,220,171,232,192
36,75,car,399,179,503,209
37,3,car,639,179,706,210
37,16,car,359,175,388,195
37,25,car,699,178,834,218
37,42,car,311,175,333,191
37,51,car,244,174,258,182
37,57,car,169,173,203,203
37,62,car,330,175,354,191
37,68,car,203,173,216,189
37,73,person,221,171,233,193
37,75,car,383,179,480,208
38,3,car,639,179,706,210
38,16,car,359,175,388,195
38,25,car,699,178,834,218
38,34,car,348,175,372,194
38,42,car,311,174,332,191
38,51,car,244,174,258,182
38,57,car,169,173,203,203
38,62,car,330,175,355,192
38,68,car,202,173,216,189
38,73,person,221,171,234,194
38,75,car,374,178,473,208
39,3,car,640,180,704,210
39,16,car,360,176,386,194
39,25,car,697,178,834,218
39,34,car,350,175,372,193
39,42,car,311,175,332,191
39,51,car,243,174,258,182
39,57,car,169,173,203,203
39,62,car,331,176,354,192
39,68,car,203,173,217,189
39,73,person,222,171,235,195
39,75,car,367,179,454,205
40,3,car,640,180,704,210
40,16,car,360,176,386,194
40,25,car,697,178,834,218
40,34,car,349,176,371,192
40,42,car,310,175,332,191
40,51,car,243,174,257,182
40,57,car,169,173,204,203
40,62,car,331,176,354,192
40,68,car,203,173,217,188
40,73,person,222,171,236,196
40,75,car,352,178,434,203
41,3,car,641,180,704,209
41,22,car,407,180,450,202
41,25,car,697,178,834,218
41,34,car,350,176,372,192
41,42,car,310,175,332,191
41,51,car,243,174,259,182
41,57,car,169,173,204,203
41,68,car,202,172,216,188
41,73,person,223,171,237,197
41,75,car,341,177,415,201
42,3,car,640,180,705,209
42,22,car,406,179,449,202
42,25,car,696,178,834,218
42,51,car,243,174,259,183
42,57,car,169,172,203,203
42,58,car,243,175,254,183
42,68,car,203,172,217,188
42,73,person,224,172,237,196
42,75,car,331,177,398,199
43,3,car,640,180,705,209
43,22,car,406,179,449,203
43,25,car,696,178,835,218
43,57,car,169,172,204,203
43,58,car,241,174,252,183
43,68,car,203,172,217,188
43,73,person,223,172,237,196
43,75,car,326,177,389,198
44,3,car,639,180,706,209
44,22,car,405,179,449,203
44,25,car,696,178,834,218
44,57,car,169,172,204,203
44,62,car,330,176,360,197
44,68,car,204,172,218,187
44,73,person,224,172,238,196
44,75,car,313,177,373,197
45,1,car,204,172,222,188
45,3,car,640,180,705,209
45,22,car,407,179,449,203
45,25,car,696,178,835,218
45,34,car,363,177,389,196
45,57,car,169,172,204,203
45,62,car,326,176,357,198
45,68,car,204,172,218,187
45,73,person,224,172,237,196
45,90,car,296,171,320,187
46,1,car,205,172,221,187
46,3,car,640,180,706,209
46,16,car,361,177,386,194
46,22,car,407,179,450,203
46,25,car,696,178,835,218
46,34,car,365,177,392,197
46,57,car,169,173,204,203
46,62,car,323,175,353,196
46,73,person,222,172,235,195
46,90,car,295,171,321,188
47,1,car,206,173,221,186
47,3,car,640,180,706,209
47,16,car,360,177,386,194
47,22,car,407,179,450,203
47,25,car,696,178,835,218
47,57,car,169,173,204,202
47,62,car,317,177,345,196
47,73,person,222,172,235,195
47,90,car,295,172,319,188
48,3,car,640,180,707,209
48,16,car,361,177,389,195
48,22,car,407,179,449,203
48,25,car,695,177,835,218
48,55,person,219,173,231,203
48,57,car,170,173,203,202
48,62,car,310,177,337,194
48,90,car,295,172,319,188
48,92,car,350,176,370,193
49,3,car,643,180,708,209
49,16,car,361,177,390,196
49,22,car,407,179,449,203
49,25,car,691,177,834,220
49,55,person,219,174,231,202
49,57,car,170,173,203,201
49,62,car,305,176,333,194
49,92,car,349,176,370,193
50,3,car,643,180,707,209
50,16,car,361,177,391,196
50,22,car,407,179,449,203
50,25,car,670,175,878,238
50,55,person,217,172,231,204
50,57,car,170,173,203,201
50,62,car,297,174,324,192
50,92,car,349,176,369,192
50,94,person,239,173,253,203
51,3,car,643,180,707,209
51,16,car,361,176,389,195
51,22,car,407,179,449,203
51,25,car,694,177,863,229
51,55,person,217,171,231,205
51,57,car,170,174,202,200
51,62,car,293,174,320,192
51,92,car,349,176,368,192
51,94,person,240,172,255,204
52,16,car,361,177,389,196
52,22,car,407,179,449,203
52,25,car,696,178,844,223
52,42,car,317,177,334,190
52,55,person,216,171,231,205
52,57,car,170,174,202,200
52,62,car,291,174,316,191
52,92,car,349,176,368,191
52,94,person,241,173,256,204
52,98,car,328,177,350,192
53,3,car,643,180,704,208
53,16,car,361,176,388,194
53,22,car,407,179,450,203
53,25,car,695,178,836,221
53,42,car,317,177,335,189
53,55,person,216,171,231,205
53,57,car,170,174,202,200
53,62,car,289,174,315,191
53,92,car,348,176,368,192
53,94,person,240,171,258,207
53,98,car,328,177,350,192
53,99,car,505,176,631,224
54,3,car,642,180,703,207
54,16,car,362,177,389,196
54,22,car,408,180,449,203
54,25,car,694,178,837,221
54,34,car,402,179,431,202
54,42,car,317,177,335,190
54,55,person,216,170,232,207
54,57,car,170,174,203,200
54,62,car,281,175,304,190
54,90,car,292,173,317,189
54,92,car,347,176,368,192
54,94,person,241,170,259,208
54,98,car,328,177,350,192
54,99,car,467,180,564,217
55,3,car,641,181,705,209
55,16,car,362,177,390,196
55,22,car,409,180,450,202
55,34,car,404,180,432,202
55,42,car,317,177,335,190
55,55,person,216,169,233,207
55,57,car,170,174,203,200
55,62,car,277,175,300,189
55,90,car,293,173,317,189
55,92,car,348,176,368,192
55,94,person,242,169,262,209
55,98,car,328,177,350,192
55,99,car,439,181,525,214
56,3,car,640,181,705,209
56,11,car,432,175,484,215
56,16,car,362,177,390,197
56,22,car,410,180,450,202
56,34,car,406,181,434,202
56,42,car,317,177,335,190
56,55,person,217,169,234,208
56,56,car,708,178,789,219
56,57,car,170,174,203,200
56,62,car,275,174,296,189
56,90,car,294,173,318,188
56,92,car,348,176,368,192
56,94,person,244,169,263,210
56,98,car,328,177,350,192
56,99,car,411,183,483,210
57,3,car,639,180,707,209
57,11,car,436,176,485,214
57,16,car,361,176,388,195
57,34,car,409,179,447,207
57,42,car,317,177,334,190
57,55,person,217,168,236,208
57,56,car,704,178,782,218
57,57,car,170,174,203,200
57,62,car,273,174,293,188
57,73,person,224,190,236,211
57,90,car,296,173,317,187
57,92,car,348,176,368,193
57,94,person,245,169,265,211
57,98,car,328,177,350,192
58,3,car,639,180,707,209
58,16,car,361,176,387,194
58,34,car,402,179,443,208
58,42,car,316,176,335,190
58,55,person,219,167,238,209
58,56,car,703,179,781,217
58,57,car,170,174,203,200
58,62,car,274,174,292,187
58,73,person,226,191,237,211
58,90,car,296,173,318,187
58,92,car,348,176,368,193
58,94,person,248,168,268,212
58,98,car,328,177,349,192
59,16,car,360,176,386,194
59,34,car,412,180,446,204
59,42,car,315,176,335,190
59,55,person,221,166,241,211
59,57,car,170,174,203,200
59,62,car,275,174,292,186
59,73,person,227,191,239,212
59,90,car,296,173,317,187
59,92,car,349,176,369,193
59,94,person,250,167,272,213
59,98,car,328,177,349,192
60,1,car,204,173,217,184
60,3,car,638,179,709,210
60,16,car,362,176,396,199
60,22,car,407,180,450,202
60,25,car,697,178,831,219
60,34,car,416,180,450,204
60,42,car,314,176,335,191
60,55,person,224,166,245,211
60,57,car,169,174,203,201
60,62,car,273,174,289,186
60,73,person,228,192,239,213
60,90,car,295,172,317,187
60,92,car,347,176,367,193
60,94,person,256,166,277,214
60,98,car,329,177,351,192
61,1,car,204,173,217,184
61,3,car,638,179,708,210
61,11,car,454,164,524,216
61,16,car,362,176,397,200
61,22,car,409,180,449,202
61,25,car,689,178,817,218
61,42,car,314,175,335,191
61,55,person,230,166,251,213
61,57,car,169,174,203,201
61,90,car,296,172,317,187
61,92,car,349,177,373,196
61,94,person,257,166,279,215
61,98,car,329,177,351,192
62,3,car,638,179,708,211
62,11,car,455,163,526,216
62,22,car,410,180,448,202
62,25,car,688,178,812,218
62,42,car,314,175,335,191
62,55,person,232,165,254,214
62,57,car,169,175,203,201
62,90,car,296,172,317,187
62,92,car,350,178,376,198
62,94,person,265,163,289,216
